0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:24:30 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:24:44 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:24:55 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:25:05 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:26 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:28 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:30 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:30 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:31 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:43 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:27:44 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:28:51 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:28:52 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:29:01 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:29:02 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:29:02 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:31:53 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:31:54 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:31:54 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 534
